"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 13 14:48:02 GMT 2022","Thu Oct 13 14:48:37 GMT 2022","35374","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""0"",""known_issues"":""10""}","invalid hoover start position values {""x"":""5"",""y"":""0"",""known_issues"":""10""}",""
"failed","Thu Oct 13 14:43:15 GMT 2022","Thu Oct 13 14:43:48 GMT 2022","33028","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""null"",""y"":""5"",""known_issues"":""6""}","invalid room size values {""x"":""null"",""y"":""5"",""known_issues"":""6""}",""
"passed","Thu Oct 13 14:43:40 GMT 2022","Thu Oct 13 14:44:16 GMT 2022","36354","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""true"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""true"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:57 GMT 2022","Thu Oct 13 14:42:28 GMT 2022","30440","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Revisting already cleaned spots","Revisting already cleaned spots",""
"passed","Thu Oct 13 14:52:50 GMT 2022","Thu Oct 13 14:53:24 GMT 2022","33882","","Cleaning Session Service (reuse server instance)","","Cleaning Session Service (reuse server instance)","New patches covered after previous pickup","New patches covered after previous pickup",""
"failed","Thu Oct 13 14:53:27 GMT 2022","Thu Oct 13 14:53:38 GMT 2022","11653","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","duplicate dirt patch positions @issue:4","duplicate dirt patch positions @issue:4",""
"failed","Thu Oct 13 14:44:59 GMT 2022","Thu Oct 13 14:45:29 GMT 2022","30346","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""0.1"",""known_issues"":""5""}","invalid room size values {""x"":""5"",""y"":""0.1"",""known_issues"":""5""}",""
"passed","Thu Oct 13 14:45:54 GMT 2022","Thu Oct 13 14:46:26 GMT 2022","32792","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""[]"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""[]"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:20 GMT 2022","Thu Oct 13 14:51:52 GMT 2022","32419","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""0"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""0"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:50:54 GMT 2022","Thu Oct 13 14:51:26 GMT 2022","31693","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:46:38 GMT 2022","Thu Oct 13 14:47:10 GMT 2022","31586","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""\""aa\"""",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:51:26 GMT 2022","Thu Oct 13 14:51:55 GMT 2022","28918","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""\""a\"""",""known_issues"":""""}",""
"passed","Thu Oct 13 14:48:55 GMT 2022","Thu Oct 13 14:49:27 GMT 2022","31198","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}","invalid hoover start position values {""x"":""5"",""y"":""9999999999999999999999999999999999999999999999999999999999999999999999999999"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:47:29 GMT 2022","Thu Oct 13 14:48:02 GMT 2022","32619","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""{\""a\"":\""b\""}"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:41:16 GMT 2022","Thu Oct 13 14:41:57 GMT 2022","41178","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","service is running example","service is running example",""
"passed","Thu Oct 13 14:46:00 GMT 2022","Thu Oct 13 14:46:33 GMT 2022","32905","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""[1]"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:43 GMT 2022","Thu Oct 13 14:52:20 GMT 2022","37413","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""\""\"""",""known_issues"":""3""}","invalid dirt patch position values {""x"":""5"",""y"":""\""\"""",""known_issues"":""3""}",""
"passed","Thu Oct 13 14:44:26 GMT 2022","Thu Oct 13 14:44:59 GMT 2022","32971","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}","invalid room size values {""x"":""5"",""y"":""\""aa\"""",""known_issues"":""""}",""
"failed","Thu Oct 13 14:49:56 GMT 2022","Thu Oct 13 14:50:32 GMT 2022","35826","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""-1"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""-1"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:42 GMT 2022","Thu Oct 13 14:52:19 GMT 2022","37110","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""0.1"",""known_issues"":""""}","invalid dirt patch position values {""x"":""5"",""y"":""0.1"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:47:37 GMT 2022","Thu Oct 13 14:48:07 GMT 2022","30437","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid hoover start position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}","invalid hoover start position values {""x"":""[]"",""y"":""5"",""known_issues"":""""}",""
"passed","Thu Oct 13 14:42:28 GMT 2022","Thu Oct 13 14:43:02 GMT 2022","34640","","Cleaning Session Service (basic)","","Cleaning Session Service (basic)","Hit south wall","Hit south wall",""
"passed","Thu Oct 13 14:43:49 GMT 2022","Thu Oct 13 14:44:26 GMT 2022","37376","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid room size values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}","invalid room size values {""x"":""[1]"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:51:55 GMT 2022","Thu Oct 13 14:52:26 GMT 2022","31361","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""5"",""y"":""null"",""known_issues"":""3""}","invalid dirt patch position values {""x"":""5"",""y"":""null"",""known_issues"":""3""}",""
"failed","Thu Oct 13 14:49:42 GMT 2022","Thu Oct 13 14:50:14 GMT 2022","31722","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""-10"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""-10"",""y"":""5"",""known_issues"":""""}",""
"failed","Thu Oct 13 14:50:37 GMT 2022","Thu Oct 13 14:51:09 GMT 2022","31277","","Cleaning Session Service (Input validation)","","Cleaning Session Service (Input validation)","invalid dirt patch position values {""x"":""0.1"",""y"":""5"",""known_issues"":""""}","invalid dirt patch position values {""x"":""0.1"",""y"":""5"",""known_issues"":""""}",""
